latitud,longitud,property_surface_total,property_surface_covered
-34.6320895,-58.4745912,45.0,42.0
-34.594273,-58.3992766,121.0,114.0
-34.5954871383,-58.4338760376,202.0,104.0
-34.5797827583,-58.4384894371,29.0,25.0
-34.5840406,-58.4003814,160.0,139.0
-34.5681164932,-58.4336400032,60.0,56.0
-34.6070229,-58.3878166,17.0,17.0
-34.6300406224,-58.5045078019,79.0,72.0
-34.5932336,-58.4300446,51.0,46.0
-34.5476835,-58.46225,23.0,23.0
-34.5985563493,-58.3838466658,42.0,39.0
-34.6138864,-58.4087773,54.0,50.0
-34.573855,-58.42234154,36.0,32.0
-34.5883394,-58.5096138,67.0,60.0
-34.627755,-58.3724057,90.0,77.0
-34.5696534,-58.4765211,145.0,145.0
-34.573855,-58.42234154,127.0,116.0
-34.5988934267,-58.4258188044,90.0,90.0
-34.6004493,-58.4441391,104.0,88.0
-34.652094,-58.370567,467.0,467.0
-34.5850693,-58.4201459,26.0,26.0
-34.5860755,-58.4531285,65.0,60.0
-34.580186,-58.428451,44.0,37.0
-34.5480966,-58.4557957,294.0,284.0
-34.6341869,-58.3742436,36.0,36.0
-34.6175851,-58.41832,74.0,43.0
-34.5927172258,-58.4084452386,128.0,107.0
-34.6252761,-58.3700041,25.0,25.0
-34.5867255555,-58.4229326248,50.0,48.0
-34.6016243,-58.4334691,45.0,39.0
-34.550015,-58.4636976,63.0,43.0
-34.6052939,-58.4241797,83.0,68.0
-34.64027786,-58.46360779,197.0,197.0
-34.567081,-58.432834,50.0,48.0
-34.5936091,-58.4073545,92.0,86.0
-34.5875031,-58.450604,37.0,31.0
-34.590268,-58.3866322,102.0,95.0
-34.5660183,-58.4726686,43.0,40.0
-34.631811,-58.4682164,125.0,109.0
-34.5806602,-58.4317878,55.0,49.0
-34.6282536,-58.3984927,20.0,20.0
-34.6036353,-58.4662788,50.0,45.0
-34.6053126,-58.4174973,75.0,65.0
-34.6115653724,-58.4422360592,49.0,46.0
-34.6420366,-58.4389954,47.0,41.0
-34.6113575,-58.4540365,78.0,78.0
-34.5583203,-58.4435769,47.0,47.0
-34.6046601,-58.3953847,42.0,38.0
-34.6168383,-58.4844458,340.0,274.0
-34.5968093,-58.4154363,49.0,45.0
-34.6185227,-58.4400394,54.0,35.0
-34.5948467,-58.4093411,82.0,77.0
-34.5577046,-58.4719379,145.0,110.0
-34.5819099,-58.4493808,96.0,59.0
-34.5447511,-58.4683407,40.0,32.0
-34.5657344,-58.4649426,80.0,69.0
-34.5795755,-58.4877605,155.0,135.0
-34.620644,-58.3958032,42.0,38.0
-34.5752778,-58.4470661,57.0,57.0
-34.5723729,-58.4818817,77.0,44.0
-34.6079549,-58.4850352,64.0,60.0
-34.5893156,-58.409765,45.0,45.0
-34.5846021268,-58.4406293906,58.0,54.0
-34.5802183551,-58.4052600233,347.0,332.0
-34.5858958,-58.4407227,89.0,68.0
-34.5994655746,-58.4675390698,276.0,238.0
-34.5513989,-58.4573191,35.0,34.0
-34.5966175978,-58.4009170532,40.0,40.0
-34.5690522,-58.4504889,39.0,36.0
-34.5785214,-58.4133422,40.0,38.0
-34.6225341,-58.4033906,103.0,85.0
-34.6058965,-58.5175654,39.0,35.0
-34.5412501,-58.4729664,60.0,50.0
-34.595099,-58.397231,60.0,51.0
-34.5678,-58.5038,90.0,90.0
-34.6133016,-58.430263,80.0,69.0
-34.5872918,-58.4031186,53.0,53.0
-34.5922202,-58.3854131,180.0,180.0
-34.6032748,-58.4639271,56.0,56.0
-34.595066,-58.384256,43.0,43.0
-34.6018214795,-58.4081078249,60.0,60.0
-34.5899212,-58.4232282,39.0,34.0
-34.5824252,-58.4132198,65.0,60.0
-34.5654665,-58.4621067,55.0,47.0
-34.6011284,-58.3744441,49.0,49.0
-34.5837725,-58.446417,137.0,80.0
-34.598541,-58.379734,94.0,93.0
-34.610464,-58.445034,88.0,80.0
-34.6329958,-58.4031349,155.0,150.0
-34.6273926,-58.4283844,90.0,81.0
-34.602685,-58.4177,31.0,31.0
-34.568868,-58.4551,35.0,31.0
-34.6072024,-58.3960166,48.0,48.0
-34.6169871,-58.445827,96.0,87.0
-34.5699614,-58.4323397,56.0,46.0
-34.551848,-58.4731109,52.0,38.0
